plan#,Ap,Bp,L,F,plan_reward,plan_time,obs_dis,loss,mae,mean_q
2292,0.0,1.0,0.95,0.29867325818769663,-0.0877607982264,0.0,0.0,0.94697523,0.7191264,2.8525407
2293,0.0,1.0,0.95,0.33302456659774665,-0.0855237398856,0.0,0.0,1.4830134,0.8349709,3.279433
2294,0.0,1.0,0.95,0.34211369237328565,-0.0844938272003,0.0,0.0,1.4712975,0.83386165,3.274927
2295,0.0,1.0,0.95,0.2931558728973981,-0.0834755887921,0.0,0.0,1.4548562,0.8322197,3.267611
2296,0.0,1.0,0.95,0.2553924360655803,-0.0826942409824,0.0,0.0,1.4346845,0.83011204,3.2577984
2297,0.0,1.0,0.95,0.19651119260705374,-0.0758737786274,0.0,0.0,1.400826,0.8273609,3.2457776
2298,0.0,1.0,0.95,0.13445963867641295,-0.0710951581418,0.0,0.0,1.367572,0.8243176,3.231828
2299,0.0,1.0,0.95,0.05819017903635569,-0.0653239218051,0.0,0.0,1.3303744,0.82091707,3.2162018
2300,0.0,1.0,0.95,0.060310265777068155,-0.0596431029969,0.0,0.0,1.2915306,0.8172432,3.1991324
2301,0.0,1.0,0.95,0.23171885628137218,30.0,0.0,0.0,359.6338,1.7480433,3.1808348
2302,0.05,1.0,1.0,0.3284528476365405,-0.206552354167,0.0,0.0,1.1261857,0.53626,1.9343241
2303,0.1,1.0,1.0,0.35812221537802974,-0.175183124414,0.0,0.0,0.64169806,0.41708586,1.503086
2304,0.05,1.0,1.0,0.30426530831388515,-0.20093753273,0.0,0.0,0.09037708,0.5517039,1.9709823
2305,0.0,1.0,1.0,0.32193692038614663,-0.153433507226,0.0,0.0,1.4416906,0.57892406,2.150855
2306,0.05,1.0,1.0,0.3616965298991602,-0.14631842568,0.0,0.0,0.8120287,0.58322597,2.1640868
2307,0.0,1.0,1.0,0.3428492257956985,-0.145248176651,0.0,0.0,1.4687119,0.5828964,2.175524
2308,0.0,1.0,1.0,0.3482767426710719,-0.123010181771,0.0,0.0,1.4531258,0.5834598,2.1839223
2309,0.0,1.0,1.0,0.3277394725232271,-0.113744693265,0.0,0.0,0.865091,0.58001304,2.1896114
